Año,AñoMes,Indice_IPC - ok
2016,2016-12,100
2017,2017-01,101.313
2017,2017-01,101.5859
2017,2017-02,103.6859
2017,2017-02,103.8085
2017,2017-03,106.1476
2017,2017-03,106.2627
2017,2017-04,108.9667
2017,2017-04,109.0613
2017,2017-05,110.4607
2017,2017-05,110.5301
2017,2017-06,111.8477
2017,2017-06,111.9943
2017,2017-07,113.7852
2017,2017-07,113.9199
2017,2017-08,115.3819
2017,2017-08,115.6031
2017,2017-09,117.5719
2017,2017-09,117.9656
2017,2017-10,119.3528
2017,2017-10,119.4985
2017,2017-11,120.8941
2017,2017-11,120.994
2017,2017-12,124.7956
2017,2017-12,125.0392
2018,2018-01,126.9887
2018,2018-01,127.0147
2018,2018-02,130.0606
2018,2018-02,130.2913
2018,2018-03,133.1054
2018,2018-03,133.5028
2018,2018-04,136.7512
2018,2018-04,136.938
2018,2018-05,139.58
2018,2018-05,139.5893
2018,2018-06,144.8053
2018,2018-06,145.0582
2018,2018-07,149.1178
2018,2018-07,149.2966
2018,2018-08,155.1034
2018,2018-08,155.1747
2018,2018-09,165.2383
2018,2018-09,165.4903
2018,2018-10,173.8549
2018,2018-10,174.1473
2018,2018-11,178.877
2018,2018-11,179.6388
2018,2018-12,183.9381
2018,2018-12,184.2552
2019,2019-01,189.1236
2019,2019-01,189.6101
2019,2019-02,196.3597
2019,2019-02,196.7501
2019,2019-03,205.7679
2019,2019-03,205.9571
2019,2019-04,212.4469
2019,2019-04,213.0517
2019,2019-05,218.8793
2019,2019-05,219.5691
2019,2019-06,224.6105
2019,2019-06,225.537
2019,2019-07,229.4286
2019,2019-07,230.494
2019,2019-08,238.3069
2019,2019-08,239.6077
2019,2019-09,252.1482
2019,2019-09,253.7102
2019,2019-10,260.2101
2019,2019-10,262.0661
2019,2019-11,270.8019
2019,2019-11,273.2158
2019,2019-12,281.1775
2019,2019-12,283.4442
2020,2020-01,286.4913
2020,2020-01,289.8299
2020,2020-02,291.737
2020,2020-02,295.666
2020,2020-03,302.2274
2020,2020-03,305.5515
2020,2020-04,306.4483
2020,2020-04,310.1243
2020,2020-05,311.0922
2020,2020-05,314.9087
2020,2020-06,317.4661
2020,2020-06,321.9738
2020,2020-07,322.6791
2020,2020-07,328.2014
2020,2020-08,331.6957
2020,2020-08,337.0632
2020,2020-09,340.902
2020,2020-09,346.6207
2020,2020-10,353.0444
2020,2020-10,359.657
2020,2020-11,363.5381
2020,2020-11,371.0211
2020,2020-12,377.0507
2020,2020-12,385.8826
2021,2021-01,389.4454
2021,2021-01,401.5071
2021,2021-02,403.4854
2021,2021-02,415.8595
2021,2021-03,424.4539
2021,2021-03,435.8657
2021,2021-04,441.8955
2021,2021-04,453.6503
2021,2021-05,456.7856
2021,2021-05,468.725
2021,2021-06,470.784
2021,2021-06,483.6049
2021,2021-07,485.3036
2021,2021-08,497.9371
2021,2021-07,498.0987
2021,2021-08,510.3942
2021,2021-09,517.0425
2021,2021-09,528.4968
2021,2021-10,536.5423
2021,2021-10,547.0802
2021,2021-11,548.7073
2021,2021-11,560.9184
2021,2021-12,570.9981
2021,2021-12,582.4575
2022,2022-01,593.4219
2022,2022-01,605.0317
2022,2022-02,620.5007
2022,2022-02,633.4341
2022,2022-03,661.8688
2022,2022-03,676.0566
2022,2022-04,702.829
2022,2022-04,716.9399
2022,2022-05,736.3637
2022,2022-05,753.147
2022,2022-06,776.6701
2022,2022-06,793.0278
2022,2022-07,833.8894
2022,2022-07,851.761
2022,2022-08,891.851
2022,2022-08,911.1316
2022,2022-09,945.6836
2022,2022-09,967.3076
2022,2022-10,1007.6275
2022,2022-10,1028.706
2022,2022-11,1058.0026
2022,2022-11,1079.2787
2022,2022-12,1114.5359
2022,2022-12,1134.5875
